Banco,FechaReporte,Indicador,CategoriaIndicador,Saldo,TipoInstitucion
BAC CREDOMATIC,2024-01-31,RENTABILIDAD SOBRE EL PATRIMONIOS (ROE): RESULTADOS EL EJERCICIO (ANUALIZADOS)/CAPITAL Y RESERVAS PROMEDIO,4) INDICADORES DE RENTABILIDAD,19.07248561689656,BANCOS COMERCIALES
BAC CREDOMATIC,2024-01-31,SPREAD DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,8.44849160645601,BANCOS COMERCIALES
BAC CREDOMATIC,2024-01-31,TASA ACTIVA DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,10.75835115447675,BANCOS COMERCIALES
BAC CREDOMATIC,2024-01-31,TASA PASIVA PARA INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,2.30985954802074,BANCOS COMERCIALES
BAC CREDOMATIC,2024-01-31,ÍNDICE DE COBERTURA DE LA MORA DE CARTERA,2) INDICADORES DE CALIDAD DE ACTIVOS,195.0827756373581,BANCOS COMERCIALES
BAC CREDOMATIC,2024-01-31,ÍNDICE DE INVERSIÓN EN ACTIVOS FIJOS,5) INDICADORES DE CUMPLIMIENTO,5.04718581845001,BANCOS COMERCIALES
BAC CREDOMATIC,2024-01-31,ÍNDICE DE LIQUIDEZ: COBERTURA DE DEPÓSITOS DEL PÚBLICO CON ACTIVOS LÍQUIDOS,3) INDICADORES DE LIQUIDEZ,33.21650666510189,BANCOS COMERCIALES
BAC CREDOMATIC,2024-01-31,ÍNDICE DE MOROSIDAD SOBRE CARTERA CREDITICIA TOTAL,2) INDICADORES DE CALIDAD DE ACTIVOS,1.21594358425312,BANCOS COMERCIALES
BANCATLAN,2024-01-31,(ACTIVOS LÍQUIDOS + PRÉSTAMOS VIGENTES A INSTITUCIONES FINANCIERAS)/(DEPÓSITOS DEL PÚBLICO+PRÉSTAMOS DE INSTITUCIONES FINANCIERAS),3) INDICADORES DE LIQUIDEZ,23.3206779488962,BANCOS COMERCIALES
BANCATLAN,2024-01-31,CALCES DE POSICIÓN EN MONEDA EXTRANJERA,5) INDICADORES DE CUMPLIMIENTO,2.35777609971346,BANCOS COMERCIALES
BANCATLAN,2024-01-31,CARTERA DE TARJETAS DE CRÉDITO/CARTERA CREDITICIA TOTAL,2) INDICADORES DE CALIDAD DE ACTIVOS,5.06681554034961,BANCOS COMERCIALES
BANCATLAN,2024-01-31,GASTOS DE ADMINISTRACIÓN (ANUALIZADOS)/ACTIVOS TOTALES PROMEDIO,6) INDICADORES DE GESTIÓN,3.95484076578762,BANCOS COMERCIALES
BANCATLAN,2024-01-31,GASTOS DE ADMINISTRACIÓN/INGRESOS TOTALES,6) INDICADORES DE GESTIÓN,40.78126024729049,BANCOS COMERCIALES
BANCATLAN,2024-01-31,INDICE DE ADECUACIÓN DE CAPITAL,1) INDICADORES DE SOLVENCIA,12.32521248157099,BANCOS COMERCIALES
